recommendation,class,level,table_number,table_name,guideline,year,page
"Involvement of multidisciplinary healthcare professionals (cardiologists, general practitioners, nurses, dieticians, physiotherapists, psychologists, pharmacists) is recommended in order to reduce all-cause and cardiovascular mortality and morbidity, and improve health-related quality of life.",I,A,13,lifestyle managements after non-ST-segment elevation acute coronary syndrome,ACS NSTE,2020,47
Psychological interventions are recommended to improve symptoms of depression in patients with CAD in order to improve healthrelated quality of life.,I,B,13,lifestyle managements after non-ST-segment elevation acute coronary syndrome,ACS NSTE,2020,47
"Annual inﬂuenza vaccination is recommended for patients with CAD, especially in the older person, in order to improve morbidity.505",I,B,13,lifestyle managements after non-ST-segment elevation acute coronary syndrome,ACS NSTE,2020,47
Lipid-lowering drugs Statins are recommended in all NSTE-ACS patients. The aim is to reduce LDL-C by >_50% from baseline and to achieve LDL-C <1.4 mmol/L (<55 mg/ dL).,I,A,14,pharmacological long-term management after non-ST-segment elevation acute coronary syndrome (excluding antithrombotic treatments),ACS NSTE,2020,48
"If the LDL-C goalc is not achieved after 46 weeks with the maximally tolerated statin dose, combination with ezetimibe is recommended.",I,B,14,pharmacological long-term management after non-ST-segment elevation acute coronary syndrome (excluding antithrombotic treatments),ACS NSTE,2020,48
"If the LDL-C goalc is not achieved after 46 weeks despite maximally tolerated statin therapy and ezetimibe, the addition of a PCSK9 inhibitor is recommended.",I,B,14,pharmacological long-term management after non-ST-segment elevation acute coronary syndrome (excluding antithrombotic treatments),ACS NSTE,2020,48
"If the current NSTE-ACS episode is a recurrence within less than 2 years of a ﬁrst ACS, while taking maximally tolerated statin-based therapy, an LDL-C goal of <1.0 mmol/L (<40 mg/dL) may be considered.",IIb,B,14,pharmacological long-term management after non-ST-segment elevation acute coronary syndrome (excluding antithrombotic treatments),ACS NSTE,2020,48
"ACE inhibitors or ARBs ACE inhibitors (or ARBs in cases of intolerance to ACE inhibitors) are recommended in patients with heart failure with reduced LVEF (<40%), diabetes, or CKD unless contraindicated (e.g. severe renal impairment, hyperkalaemia, etc.) in order to reduce allcause and cardiovascular mortality and cardiovascular morbidity.536",I,A,14,pharmacological long-term management after non-ST-segment elevation acute coronary syndrome (excluding antithrombotic treatments),ACS NSTE,2020,48
Beta-blockers Beta-blockers are recommended in patients with systolic LV dysfunction or heart failure with reduced LVEF (<40%).539,I,A,14,pharmacological long-term management after non-ST-segment elevation acute coronary syndrome (excluding antithrombotic treatments),ACS NSTE,2020,48
"In patients with prior MI, long-term oral treatment with a beta-blocker should be considered in order to reduce all-cause and cardiovascular mortality and cardiovascular morbidity.542",IIa,B,14,pharmacological long-term management after non-ST-segment elevation acute coronary syndrome (excluding antithrombotic treatments),ACS NSTE,2020,48
MRAs MRAs are recommended in patients with heart failure with reduced LVEF (<40%) in order to reduce allcause and cardiovascular mortality and cardiovascular morbidity.,I,A,14,pharmacological long-term management after non-ST-segment elevation acute coronary syndrome (excluding antithrombotic treatments),ACS NSTE,2020,48
"Proton pump inhibitors Concomitant use of a proton pump inhibitor is recommended in patients receiving aspirin monotherapy, DAPT, DAT, TAT, or OAC monotherapy who are at high risk of gastrointestinal bleeding in order to reduce the risk of gastric bleeds.",I,A,14,pharmacological long-term management after non-ST-segment elevation acute coronary syndrome (excluding antithrombotic treatments),ACS NSTE,2020,48
"Diagnosis and risk stratiﬁcation It is recommended to base diagnosis and initial short-term risk stratiﬁcation on a combination of clinical history, symptoms, vital signs, other physical ﬁndings, ECG, and laboratory results including hs-cTn.",I,B,15,"diagnosis, risk stratiﬁcation, imaging, and rhythm monitoring in patients with suspected non-ST-segment elevation acute coronary syndrome",ACS NSTE,2020,55
"It is recommended to measure cardiac troponins with high-sensitivity assays immediately after admission and obtain the results within 60 min of blood sampling.3,1013,29",I,B,15,"diagnosis, risk stratiﬁcation, imaging, and rhythm monitoring in patients with suspected non-ST-segment elevation acute coronary syndrome",ACS NSTE,2020,55
It is recommended to obtain a 12-lead ECG within 10 min after ﬁrst medical contact and to have it immediately interpreted by an experienced physician.,I,B,15,"diagnosis, risk stratiﬁcation, imaging, and rhythm monitoring in patients with suspected non-ST-segment elevation acute coronary syndrome",ACS NSTE,2020,55
It is recommended to obtain an additional 12-lead ECG in case of recurrent symptoms or diagnostic uncertainty.,I,C,15,"diagnosis, risk stratiﬁcation, imaging, and rhythm monitoring in patients with suspected non-ST-segment elevation acute coronary syndrome",ACS NSTE,2020,55
Additional testing after 3 h is recommended if the ﬁrst two cardiac troponin measurements of the 0 h/1 h algorithm are not conclusive and the clinical condition is still suggestive of ACS.,I,B,15,"diagnosis, risk stratiﬁcation, imaging, and rhythm monitoring in patients with suspected non-ST-segment elevation acute coronary syndrome",ACS NSTE,2020,56
As an alternative to the,I,B,15,"diagnosis, risk stratiﬁcation, imaging, and rhythm monitoring in patients with suspected non-ST-segment elevation acute coronary syndrome",ACS NSTE,2020,56
"Additional ECG leads (V3R, V4R, V7V9) are recommended if ongoing ischaemia is suspected when standard leads are inconclusive.",I,C,15,"diagnosis, risk stratiﬁcation, imaging, and rhythm monitoring in patients with suspected non-ST-segment elevation acute coronary syndrome",ACS NSTE,2020,56
"For initial diagnostic purposes, it is not recommended to routinely measure additional biomarkers such as h-FABP or copeptin, in addition to hs-cTn.",III,B,15,"diagnosis, risk stratiﬁcation, imaging, and rhythm monitoring in patients with suspected non-ST-segment elevation acute coronary syndrome",ACS NSTE,2020,56
"Imaging In patients presenting with cardiac arrest or haemodynamic instability of presumed cardiovascular origin, echocardiography is recommended and should be performed by trained physicians immediately following a 12-lead ECG.",I,C,15,"diagnosis, risk stratiﬁcation, imaging, and rhythm monitoring in patients with suspected non-ST-segment elevation acute coronary syndrome",ACS NSTE,2020,56
"In patients with no recurrence of chest pain, normal ECG ﬁndings, and normal levels of cardiac troponin (preferably high sensitivity), but still with a suspected ACS, a non-invasive stress test (preferably with imaging) for inducible ischaemia or CCTA is recommended before deciding on an invasive approach.91,92,98,101,105",I,B,15,"diagnosis, risk stratiﬁcation, imaging, and rhythm monitoring in patients with suspected non-ST-segment elevation acute coronary syndrome",ACS NSTE,2020,56
Echocardiography is recommended to evaluate regional and global LV function and to rule in or rule out differential diagnoses.c,I,C,15,"diagnosis, risk stratiﬁcation, imaging, and rhythm monitoring in patients with suspected non-ST-segment elevation acute coronary syndrome",ACS NSTE,2020,56
"CCTA is recommended as an alternative to ICA to exclude ACS when there is a low-to-intermediate likelihood of CAD and when cardiac troponin and/or ECG are normal or inconclusive.105,108,110",I,A,15,"diagnosis, risk stratiﬁcation, imaging, and rhythm monitoring in patients with suspected non-ST-segment elevation acute coronary syndrome",ACS NSTE,2020,56
Monitoring Continuous rhythm monitoring is recommended until the diagnosis of NSTEMI has been established or ruled out.,I,C,15,"diagnosis, risk stratiﬁcation, imaging, and rhythm monitoring in patients with suspected non-ST-segment elevation acute coronary syndrome",ACS NSTE,2020,56
It is recommended to admit NSTEMI patients to a monitored unit.,I,C,15,"diagnosis, risk stratiﬁcation, imaging, and rhythm monitoring in patients with suspected non-ST-segment elevation acute coronary syndrome",ACS NSTE,2020,56
Rhythm monitoring up to 24 h or to PCI (whichever comes ﬁrst) is recommended in NSTEMI patients at low risk for cardiac arrhythmias.d,I,C,15,"diagnosis, risk stratiﬁcation, imaging, and rhythm monitoring in patients with suspected non-ST-segment elevation acute coronary syndrome",ACS NSTE,2020,56
Rhythm monitoring for >24 h is recommended in NSTEMI patients at increased risk for cardiac arrhythmias.e,I,C,15,"diagnosis, risk stratiﬁcation, imaging, and rhythm monitoring in patients with suspected non-ST-segment elevation acute coronary syndrome",ACS NSTE,2020,56
"Recommendations on biomarker measurements for prognostic stratiﬁcation Beyond its diagnostic role, it is recommended to measure hs-cTn serially for the estimation of prognosis.",I,B,15,"diagnosis, risk stratiﬁcation, imaging, and rhythm monitoring in patients with suspected non-ST-segment elevation acute coronary syndrome",ACS NSTE,2020,56
"The measurement of additional biomarkers, such as mid-regional pro-A-type natriuretic peptide, high-sensitivity C-reactive protein, mid-regional pro-adrenomedullin, GDF-15, copeptin, and h-FABP is not recommended for routine risk or prognosis assessment.",III,B,15,"diagnosis, risk stratiﬁcation, imaging, and rhythm monitoring in patients with suspected non-ST-segment elevation acute coronary syndrome",ACS NSTE,2020,56
"Recommendations for antithrombotic treatment in non-ST-segment elevation acute coronary syndrome patients undergoing percutaneous coronary intervention Antiplatelet treatment Aspirin is recommended for all patients without contraindications at an initial oral LD of 150300 mg (or 75250 mg i.v.), and at a MD of 75100 mg o.d. for long-term treatment.179",I,A,15,"diagnosis, risk stratiﬁcation, imaging, and rhythm monitoring in patients with suspected non-ST-segment elevation acute coronary syndrome",ACS NSTE,2020,56
